county,date,customers_out
Lincoln,2021-01-04,0
Loudon,2021-01-04,22
Madison,2021-01-04,10
Marion,2021-01-04,7
Marshall,2021-01-04,2
Maury,2021-01-04,1000
McMinn,2021-01-04,1
Meigs,2021-01-04,76
Monroe,2021-01-04,6
Montgomery,2021-01-04,40
Moore,2021-01-04,1
Overton,2021-01-04,13
Pickett,2021-01-04,5
Polk,2021-01-04,1
Rhea,2021-01-04,3
Roane,2021-01-04,736
Robertson,2021-01-04,5
Rutherford,2021-01-04,9
Scott,2021-01-04,0
Sevier,2021-01-04,59
Shelby,2021-01-04,68
Smith,2021-01-04,0
Stewart,2021-01-04,1
Sullivan,2021-01-04,15
Sumner,2021-01-04,14
Tipton,2021-01-04,2
Trousdale,2021-01-04,0
Unicoi,2021-01-04,0
Union,2021-01-04,187
Van Buren,2021-01-04,1
Warren,2021-01-04,0
Washington,2021-01-04,34
Williamson,2021-01-04,4
Wilson,2021-01-04,6
Anderson,2021-01-05,0
Bedford,2021-01-05,2
Bledsoe,2021-01-05,6
Blount,2021-01-05,36
Bradley,2021-01-05,15
Campbell,2021-01-05,28
Cannon,2021-01-05,2
Cheatham,2021-01-05,3
Chester,2021-01-05,3
Claiborne,2021-01-05,12
Clay,2021-01-05,1
Cocke,2021-01-05,22
Coffee,2021-01-05,2
Cumberland,2021-01-05,1
Davidson,2021-01-05,6
Fayette,2021-01-05,1
Fentress,2021-01-05,41
Franklin,2021-01-05,5
Gibson,2021-01-05,2
Giles,2021-01-05,4
Grainger,2021-01-05,1
Greene,2021-01-05,59
Grundy,2021-01-05,5
Hamblen,2021-01-05,0
Hamilton,2021-01-05,1
Hancock,2021-01-05,13
Hawkins,2021-01-05,5
Jefferson,2021-01-05,2
Knox,2021-01-05,85
Lawrence,2021-01-05,9
Loudon,2021-01-05,1
Macon,2021-01-05,2
Marion,2021-01-05,92
Marshall,2021-01-05,3
Maury,2021-01-05,19
Meigs,2021-01-05,737
Monroe,2021-01-05,10
Montgomery,2021-01-05,57
Polk,2021-01-05,9
Roane,2021-01-05,1
Robertson,2021-01-05,215
Rutherford,2021-01-05,5
Sevier,2021-01-05,88
Shelby,2021-01-05,465
Stewart,2021-01-05,4
Sullivan,2021-01-05,24
Sumner,2021-01-05,9
Tipton,2021-01-05,30
Trousdale,2021-01-05,4
Unicoi,2021-01-05,0
Union,2021-01-05,0
Washington,2021-01-05,1013
Williamson,2021-01-05,5
Wilson,2021-01-05,10
Bedford,2021-01-06,2
Bledsoe,2021-01-06,17
Blount,2021-01-06,58
Bradley,2021-01-06,19
Campbell,2021-01-06,38
Cannon,2021-01-06,1
Cheatham,2021-01-06,1
Claiborne,2021-01-06,13
Clay,2021-01-06,13
Cocke,2021-01-06,16
Coffee,2021-01-06,4
Crockett,2021-01-06,2
Cumberland,2021-01-06,1
Davidson,2021-01-06,26
DeKalb,2021-01-06,0
Dickson,2021-01-06,0
Fayette,2021-01-06,1
Fentress,2021-01-06,1
Franklin,2021-01-06,7
Gibson,2021-01-06,20
Giles,2021-01-06,56
Grainger,2021-01-06,1
Greene,2021-01-06,2
Grundy,2021-01-06,174
Hamblen,2021-01-06,2
Hamilton,2021-01-06,0
Hancock,2021-01-06,1
Hawkins,2021-01-06,6
Hickman,2021-01-06,0
Knox,2021-01-06,1155
Lawrence,2021-01-06,6
Loudon,2021-01-06,2
Madison,2021-01-06,1
Marshall,2021-01-06,2
Maury,2021-01-06,54
McMinn,2021-01-06,0
Meigs,2021-01-06,1
Monroe,2021-01-06,2
Montgomery,2021-01-06,470
Moore,2021-01-06,5
Morgan,2021-01-06,0
Obion,2021-01-06,2
Overton,2021-01-06,0
Pickett,2021-01-06,0
Polk,2021-01-06,174
Putnam,2021-01-06,1
Rhea,2021-01-06,0
Roane,2021-01-06,4
Robertson,2021-01-06,69
Rutherford,2021-01-06,121
Scott,2021-01-06,0
Sequatchie,2021-01-06,1
Sevier,2021-01-06,69
Shelby,2021-01-06,93
Smith,2021-01-06,0
Sullivan,2021-01-06,90
Sumner,2021-01-06,47
Trousdale,2021-01-06,6
Unicoi,2021-01-06,0
Union,2021-01-06,3
Warren,2021-01-06,0
Washington,2021-01-06,5
White,2021-01-06,0
Williamson,2021-01-06,9
Wilson,2021-01-06,7
Anderson,2021-01-07,17
Bedford,2021-01-07,55
Blount,2021-01-07,6
Bradley,2021-01-07,1
Campbell,2021-01-07,89
Cannon,2021-01-07,1
Cheatham,2021-01-07,126
Claiborne,2021-01-07,17
Clay,2021-01-07,27
Cocke,2021-01-07,10
Coffee,2021-01-07,5
Crockett,2021-01-07,4
Cumberland,2021-01-07,27
Davidson,2021-01-07,243
DeKalb,2021-01-07,0
Dickson,2021-01-07,0
Fayette,2021-01-07,1
Fentress,2021-01-07,1
Franklin,2021-01-07,34
Gibson,2021-01-07,3
Giles,2021-01-07,66
Greene,2021-01-07,5
Grundy,2021-01-07,0
Hamblen,2021-01-07,32
Hamilton,2021-01-07,1
Hancock,2021-01-07,1
Hawkins,2021-01-07,4
Hickman,2021-01-07,0
Jefferson,2021-01-07,2
Knox,2021-01-07,211
Lawrence,2021-01-07,3868
Lewis,2021-01-07,0
Lincoln,2021-01-07,180
Loudon,2021-01-07,6
Madison,2021-01-07,18
Marion,2021-01-07,6
Marshall,2021-01-07,0
Maury,2021-01-07,195
McMinn,2021-01-07,40
Meigs,2021-01-07,4
Monroe,2021-01-07,87
Montgomery,2021-01-07,630
Moore,2021-01-07,0
Morgan,2021-01-07,5
Pickett,2021-01-07,0
Polk,2021-01-07,3
Rhea,2021-01-07,3
Roane,2021-01-07,2
Robertson,2021-01-07,1
Rutherford,2021-01-07,38
Scott,2021-01-07,0
Sequatchie,2021-01-07,2
Sevier,2021-01-07,46
Shelby,2021-01-07,118
Smith,2021-01-07,1
Sullivan,2021-01-07,58
Sumner,2021-01-07,12
Tipton,2021-01-07,2
Trousdale,2021-01-07,0
Union,2021-01-07,0
Warren,2021-01-07,0
Washington,2021-01-07,14
Williamson,2021-01-07,27
Wilson,2021-01-07,4
Anderson,2021-01-08,2
Bedford,2021-01-08,6
Blount,2021-01-08,17
Bradley,2021-01-08,1
Campbell,2021-01-08,89
Cheatham,2021-01-08,3
Claiborne,2021-01-08,35
Clay,2021-01-08,46
Cocke,2021-01-08,17
Coffee,2021-01-08,9
Crockett,2021-01-08,553
Cumberland,2021-01-08,1
Davidson,2021-01-08,133
Dickson,2021-01-08,0
Fentress,2021-01-08,2
