county,date,customers_out
Shelby,2021-01-01,2020.0
Shelby,2021-01-02,1658.0
Shelby,2021-01-03,166.0
Shelby,2021-01-04,35.0
Smith,2021-01-04,
Stewart,2020-12-31,
Stewart,2021-01-01,1418.0
Stewart,2021-01-04,1.0
Sullivan,2020-12-31,4.0
Sullivan,2021-01-01,13.0
Sullivan,2021-01-02,10.0
Sullivan,2021-01-03,22.0
Sullivan,2021-01-04,5.0
Sumner,2020-12-31,1.0
Sumner,2021-01-01,104.0
Sumner,2021-01-02,23.0
Sumner,2021-01-03,16.0
Sumner,2021-01-04,14.0
Tipton,2020-12-31,756.0
Tipton,2021-01-01,5.0
Tipton,2021-01-02,13.0
Tipton,2021-01-03,1.0
Tipton,2021-01-04,2.0
Trousdale,2021-01-01,897.0
Trousdale,2021-01-04,
Unicoi,2021-01-02,5.0
Union,2021-01-01,29.0
Union,2021-01-02,40.0
Union,2021-01-03,29.0
Van Buren,2021-01-01,2.0
Van Buren,2021-01-02,1.0
Van Buren,2021-01-03,1.0
Van Buren,2021-01-04,1.0
Warren,2021-01-04,
Washington,2020-12-31,3.0
Washington,2021-01-01,130.0
Washington,2021-01-02,130.0
Washington,2021-01-03,8.0
Washington,2021-01-04,34.0
White,2021-01-01,1.0
White,2021-01-02,1.0
Williamson,2020-12-31,111.0
Williamson,2021-01-01,2581.0
Williamson,2021-01-02,2.0
Williamson,2021-01-03,2.0
Williamson,2021-01-04,1.0
Wilson,2021-01-01,211.0
Wilson,2021-01-02,42.0
Wilson,2021-01-03,4.0
Wilson,2021-01-04,6.0
Anderson,2021-01-05,
Anderson,2021-01-07,17.0
Bedford,2021-01-04,2.0
Bedford,2021-01-05,2.0
Bedford,2021-01-06,2.0
Bedford,2021-01-07,55.0
Bledsoe,2021-01-04,8.0
Bledsoe,2021-01-05,6.0
Bledsoe,2021-01-06,17.0
Blount,2021-01-04,532.0
Blount,2021-01-05,36.0
Blount,2021-01-06,58.0
Blount,2021-01-07,6.0
Bradley,2021-01-04,1.0
Bradley,2021-01-05,15.0
Bradley,2021-01-06,19.0
Bradley,2021-01-07,1.0
Campbell,2021-01-04,2.0
Campbell,2021-01-05,28.0
Campbell,2021-01-06,38.0
Campbell,2021-01-07,89.0
Cannon,2021-01-04,1.0
Cannon,2021-01-05,2.0
Cannon,2021-01-06,1.0
Cannon,2021-01-07,1.0
Cheatham,2021-01-04,3.0
Cheatham,2021-01-05,3.0
Cheatham,2021-01-06,1.0
Cheatham,2021-01-07,126.0
Chester,2021-01-05,3.0
Claiborne,2021-01-04,22.0
Claiborne,2021-01-05,12.0
Claiborne,2021-01-06,13.0
Claiborne,2021-01-07,17.0
Clay,2021-01-04,34.0
Clay,2021-01-05,1.0
Clay,2021-01-06,13.0
Clay,2021-01-07,27.0
Cocke,2021-01-04,17.0
Cocke,2021-01-05,22.0
Cocke,2021-01-06,16.0
Cocke,2021-01-07,10.0
Coffee,2021-01-04,52.0
Coffee,2021-01-05,2.0
Coffee,2021-01-06,4.0
Coffee,2021-01-07,5.0
Crockett,2021-01-06,2.0
Crockett,2021-01-07,4.0
Cumberland,2021-01-04,2.0
Cumberland,2021-01-05,1.0
Cumberland,2021-01-06,1.0
Cumberland,2021-01-07,27.0
Davidson,2021-01-04,30.0
Davidson,2021-01-05,6.0
Davidson,2021-01-06,26.0
Davidson,2021-01-07,243.0
DeKalb,2021-01-04,1.0
DeKalb,2021-01-06,
DeKalb,2021-01-07,
Dickson,2021-01-04,
Dickson,2021-01-06,
Dickson,2021-01-07,
Fayette,2021-01-04,1.0
Fayette,2021-01-05,1.0
Fayette,2021-01-06,1.0
Fayette,2021-01-07,1.0
Fentress,2021-01-05,41.0
Fentress,2021-01-06,1.0
Fentress,2021-01-07,1.0
Franklin,2021-01-04,2.0
Franklin,2021-01-05,5.0
Franklin,2021-01-06,7.0
Franklin,2021-01-07,34.0
Gibson,2021-01-04,4.0
Gibson,2021-01-05,2.0
Gibson,2021-01-06,20.0
Gibson,2021-01-07,3.0
Giles,2021-01-04,11.0
Giles,2021-01-05,4.0
Giles,2021-01-06,56.0
Giles,2021-01-07,66.0
Grainger,2021-01-05,1.0
Grainger,2021-01-06,1.0
Greene,2021-01-04,46.0
Greene,2021-01-05,59.0
Greene,2021-01-06,2.0
Greene,2021-01-07,5.0
Grundy,2021-01-04,5.0
Grundy,2021-01-05,5.0
Grundy,2021-01-06,174.0
Grundy,2021-01-07,
Hamblen,2021-01-04,3.0
Hamblen,2021-01-05,
Hamblen,2021-01-06,2.0
Hamblen,2021-01-07,32.0
Hamilton,2021-01-04,1.0
Hamilton,2021-01-05,1.0
Hamilton,2021-01-06,
Hamilton,2021-01-07,1.0
Hancock,2021-01-04,1.0
Hancock,2021-01-05,13.0
Hancock,2021-01-06,1.0
Hancock,2021-01-07,1.0
Hawkins,2021-01-04,16.0
Hawkins,2021-01-05,5.0
Hawkins,2021-01-06,6.0
Hawkins,2021-01-07,4.0
Hickman,2021-01-06,
Hickman,2021-01-07,
Jefferson,2021-01-04,3.0
Jefferson,2021-01-05,2.0
Jefferson,2021-01-07,2.0
Knox,2021-01-04,330.0
Knox,2021-01-05,85.0
Knox,2021-01-06,1155.0
Knox,2021-01-07,211.0
Lawrence,2021-01-04,2.0
Lawrence,2021-01-05,9.0
Lawrence,2021-01-06,6.0
Lawrence,2021-01-07,3868.0
Lewis,2021-01-04,
Lewis,2021-01-07,
Lincoln,2021-01-04,
Lincoln,2021-01-07,180.0
Loudon,2021-01-04,1.0
Loudon,2021-01-05,1.0
Loudon,2021-01-06,2.0
Loudon,2021-01-07,6.0
Macon,2021-01-05,2.0
Madison,2021-01-04,10.0
Madison,2021-01-06,1.0
Madison,2021-01-07,18.0
Marion,2021-01-04,1.0
Marion,2021-01-05,92.0
Marion,2021-01-07,6.0
Marshall,2021-01-04,2.0
Marshall,2021-01-05,3.0
Marshall,2021-01-06,2.0
Marshall,2021-01-07,
Maury,2021-01-04,1000.0
Maury,2021-01-05,19.0
Maury,2021-01-06,54.0
Maury,2021-01-07,169.0
McMinn,2021-01-04,1.0
McMinn,2021-01-06,
McMinn,2021-01-07,40.0
Meigs,2021-01-04,1.0
Meigs,2021-01-05,737.0
Meigs,2021-01-06,1.0
Meigs,2021-01-07,4.0
Monroe,2021-01-04,5.0
Monroe,2021-01-05,10.0
Monroe,2021-01-06,2.0
Monroe,2021-01-07,87.0
Montgomery,2021-01-04,40.0
Montgomery,2021-01-05,57.0
Montgomery,2021-01-06,470.0
Montgomery,2021-01-07,630.0
Moore,2021-01-04,
Moore,2021-01-06,5.0
Moore,2021-01-07,
Morgan,2021-01-06,
Morgan,2021-01-07,5.0
Obion,2021-01-06,2.0
Overton,2021-01-04,13.0
Overton,2021-01-06,
Pickett,2021-01-04,5.0
Pickett,2021-01-06,
Pickett,2021-01-07,
Polk,2021-01-04,1.0
Polk,2021-01-05,9.0
Polk,2021-01-06,174.0
Polk,2021-01-07,3.0
Putnam,2021-01-06,1.0
Rhea,2021-01-04,3.0
Rhea,2021-01-06,
Rhea,2021-01-07,3.0
Roane,2021-01-04,
Roane,2021-01-05,1.0
Roane,2021-01-06,4.0
Roane,2021-01-07,2.0
Robertson,2021-01-04,5.0
Robertson,2021-01-05,215.0
Robertson,2021-01-06,69.0
Robertson,2021-01-07,1.0
Rutherford,2021-01-04,8.0
Rutherford,2021-01-05,5.0
Rutherford,2021-01-06,121.0
Rutherford,2021-01-07,38.0
Scott,2021-01-04,
Scott,2021-01-06,
Scott,2021-01-07,
Sequatchie,2021-01-06,1.0
Sequatchie,2021-01-07,2.0
Sevier,2021-01-04,47.0
Sevier,2021-01-05,88.0
Sevier,2021-01-06,69.0
Sevier,2021-01-07,46.0
Shelby,2021-01-04,68.0
Shelby,2021-01-05,465.0
Shelby,2021-01-06,93.0
Shelby,2021-01-07,118.0
Smith,2021-01-06,
Smith,2021-01-07,1.0
Stewart,2021-01-04,
Stewart,2021-01-05,4.0
Sullivan,2021-01-04,15.0
Sullivan,2021-01-05,24.0
Sullivan,2021-01-06,90.0
Sullivan,2021-01-07,58.0
Sumner,2021-01-04,7.0
Sumner,2021-01-05,9.0
Sumner,2021-01-06,47.0
Sumner,2021-01-07,12.0
Tipton,2021-01-05,30.0
Tipton,2021-01-07,2.0
Trousdale,2021-01-05,4.0
Trousdale,2021-01-06,6.0
Trousdale,2021-01-07,
Unicoi,2021-01-04,
Unicoi,2021-01-05,
Unicoi,2021-01-06,
Union,2021-01-04,187.0
Union,2021-01-05,
Union,2021-01-06,3.0
Union,2021-01-07,
Warren,2021-01-06,
Warren,2021-01-07,
Washington,2021-01-04,2.0
Washington,2021-01-05,1013.0
Washington,2021-01-06,5.0
Washington,2021-01-07,14.0
White,2021-01-06,
Williamson,2021-01-04,4.0
Williamson,2021-01-05,5.0
Williamson,2021-01-06,9.0
Williamson,2021-01-07,27.0
Wilson,2021-01-04,5.0
Wilson,2021-01-05,10.0
Wilson,2021-01-06,7.0
Wilson,2021-01-07,4.0
Anderson,2021-01-08,2.0
Anderson,2021-01-09,2.0
Anderson,2021-01-10,3.0
Anderson,2021-01-11,7.0
Bedford,2021-01-07,4.0
Bedford,2021-01-08,6.0
Bedford,2021-01-09,
Bedford,2021-01-11,4.0
Bledsoe,2021-01-11,
Blount,2021-01-08,17.0
Blount,2021-01-09,25.0
Blount,2021-01-10,2.0
Blount,2021-01-11,74.0
Blount,2021-01-12,25.0
Bradley,2021-01-08,1.0
Bradley,2021-01-09,10.0
Bradley,2021-01-10,54.0
Bradley,2021-01-11,
Bradley,2021-01-12,1.0
Campbell,2021-01-07,89.0
Campbell,2021-01-08,89.0
Campbell,2021-01-09,27.0
Campbell,2021-01-10,20.0
Campbell,2021-01-11,6.0
Campbell,2021-01-12,
Cannon,2021-01-11,2.0
Cheatham,2021-01-08,3.0
Cheatham,2021-01-09,2.0
Cheatham,2021-01-10,1.0
Cheatham,2021-01-11,58.0
Chester,2021-01-10,3.0
Claiborne,2021-01-08,35.0
Claiborne,2021-01-09,3.0
Claiborne,2021-01-11,61.0
Claiborne,2021-01-12,
Clay,2021-01-08,46.0
Clay,2021-01-11,26.0
Cocke,2021-01-07,2.0
Cocke,2021-01-08,17.0
Cocke,2021-01-09,14.0
Cocke,2021-01-10,6.0
Cocke,2021-01-11,12.0
Cocke,2021-01-12,1.0
Coffee,2021-01-07,1.0
Coffee,2021-01-08,9.0
Coffee,2021-01-09,3.0
Coffee,2021-01-10,45.0
Coffee,2021-01-11,
Crockett,2021-01-08,553.0
Crockett,2021-01-09,4.0
Crockett,2021-01-10,1.0
Cumberland,2021-01-08,1.0
Cumberland,2021-01-10,133.0
Cumberland,2021-01-11,163.0
Davidson,2021-01-07,3.0
Davidson,2021-01-08,133.0
Davidson,2021-01-09,595.0
Davidson,2021-01-10,11.0
Davidson,2021-01-11,2778.0
Davidson,2021-01-12,44.0
DeKalb,2021-01-11,1.0
Dickson,2021-01-08,
Dickson,2021-01-11,
Fentress,2021-01-08,2.0
Fentress,2021-01-09,2.0
Fentress,2021-01-10,8.0
Fentress,2021-01-11,
Franklin,2021-01-07,34.0
Franklin,2021-01-08,109.0
Franklin,2021-01-09,4.0
Franklin,2021-01-10,1.0
Franklin,2021-01-11,1.0
Gibson,2021-01-08,4.0
Gibson,2021-01-09,1.0
Gibson,2021-01-10,1.0
Giles,2021-01-07,66.0
Giles,2021-01-08,66.0
Giles,2021-01-09,6.0
Giles,2021-01-10,1.0
Grainger,2021-01-08,
Greene,2021-01-08,1087.0
Greene,2021-01-09,1.0
Greene,2021-01-10,1.0
Greene,2021-01-11,7.0
Greene,2021-01-12,
Grundy,2021-01-08,17.0
Grundy,2021-01-09,
Grundy,2021-01-10,2.0
Grundy,2021-01-11,
Hamblen,2021-01-08,1.0
Hamblen,2021-01-09,
Hamblen,2021-01-10,
Hamblen,2021-01-11,
Hamblen,2021-01-12,
Hamilton,2021-01-08,1.0
Hamilton,2021-01-09,3.0
Hamilton,2021-01-10,16.0
Hamilton,2021-01-11,
Hancock,2021-01-07,1.0
Hancock,2021-01-08,49.0
Hancock,2021-01-09,1.0
Hancock,2021-01-10,5.0
Hancock,2021-01-11,1.0
Hancock,2021-01-12,1.0
Hawkins,2021-01-08,156.0
Hawkins,2021-01-09,1.0
Hawkins,2021-01-10,
Hawkins,2021-01-11,37.0
Hawkins,2021-01-12,
Henderson,2021-01-08,1.0
Henry,2021-01-08,6.0
Henry,2021-01-09,128.0
Henry,2021-01-10,1.0
Henry,2021-01-11,3.0
Henry,2021-01-12,1.0
Hickman,2021-01-11,
Jefferson,2021-01-08,61.0
Jefferson,2021-01-09,3.0
Jefferson,2021-01-11,1.0
Knox,2021-01-07,1.0
Knox,2021-01-08,286.0
Knox,2021-01-09,59.0
Knox,2021-01-10,101.0
Knox,2021-01-11,103.0
Knox,2021-01-12,1826.0
Lake,2021-01-10,62.0
Lake,2021-01-11,59.0
Lawrence,2021-01-08,3.0
Lawrence,2021-01-09,1.0
Lawrence,2021-01-11,1.0
Lawrence,2021-01-12,1.0
Lewis,2021-01-09,
Lincoln,2021-01-09,
Loudon,2021-01-08,1.0
Loudon,2021-01-11,1.0
Macon,2021-01-08,1.0
Macon,2021-01-11,1.0
Madison,2021-01-08,2.0
Madison,2021-01-09,37.0
Madison,2021-01-10,1.0
Madison,2021-01-11,1.0
Marion,2021-01-08,2.0
Marion,2021-01-09,1.0
Marion,2021-01-11,
Marshall,2021-01-08,60.0
Marshall,2021-01-09,4.0
Marshall,2021-01-11,1.0
Maury,2021-01-07,195.0
Maury,2021-01-08,648.0
Maury,2021-01-09,
Maury,2021-01-10,1.0
Maury,2021-01-11,1.0
McMinn,2021-01-07,1.0
McMinn,2021-01-08,1.0
McMinn,2021-01-11,1.0
Meigs,2021-01-08,1.0
