Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,source_year,Event Month,event_start,event_end,duration_hours
January,01/01/2021,07:04:00,01/01/2021,07:05:00,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2021,,2021-01-01 07:04:00-06:00,2021-01-01 07:05:00-06:00,0.016666666666666666
January,01/02/2021,10:28:00,01/02/2021,10:29:00,California: Butte County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,8,5803,2021,,2021-01-02 10:28:00-06:00,2021-01-02 10:29:00-06:00,0.016666666666666666
January,01/04/2021,10:34:00,01/04/2021,10:49:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,6,3825,2021,,2021-01-04 10:34:00-06:00,2021-01-04 10:49:00-06:00,0.25
January,01/08/2021,01:26:00,01/08/2021,02:45:00,Arkansas: Prairie County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,Unknown,1908,2021,,2021-01-08 01:26:00-06:00,2021-01-08 02:45:00-06:00,1.3166666666666667
January,01/10/2021,22:44:00,01/13/2021,16:00:00,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000,2021,,2021-01-10 22:44:00-06:00,2021-01-13 16:00:00-06:00,65.26666666666667
January,01/11/2021,05:00:00,01/11/2021,14:22:00,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,58000,2021,,2021-01-11 05:00:00-06:00,2021-01-11 14:22:00-06:00,9.366666666666667
January,01/12/2021,23:50:00,01/15/2021,13:00:00,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000,2021,,2021-01-12 23:50:00-06:00,2021-01-15 13:00:00-06:00,61.166666666666664
January,01/12/2021,20:46:00,01/13/2021,16:00:00,"Oregon: Clackamas County, Multnomah County, Washington County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94231,2021,,2021-01-12 20:46:00-06:00,2021-01-13 16:00:00-06:00,19.233333333333334
January,01/12/2021,23:49:00,01/14/2021,14:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,150,70000,2021,,2021-01-12 23:49:00-06:00,2021-01-14 14:00:00-06:00,38.18333333333333
January,01/12/2021,20:30:00,Unknown,Unknown,Washington: Snohomish County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,200,62000,2021,,2021-01-12 20:30:00-06:00,,
January,01/13/2021,03:43:00,01/13/2021,16:00:00,Washington: Idaho:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,185,70417,2021,,2021-01-13 03:43:00-06:00,2021-01-13 16:00:00-06:00,12.283333333333333
January,01/13/2021,13:05:00,01/13/2021,13:06:00,Georgia: Houston County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-01-13 13:05:00-06:00,2021-01-13 13:06:00-06:00,0.016666666666666666
January,01/15/2021,17:48:00,01/15/2021,18:55:00,Missouri:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-01-15 17:48:00-06:00,2021-01-15 18:55:00-06:00,1.1166666666666667
January,01/18/2021,14:07:00,01/18/2021,14:42:00,Connecticut:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-01-18 14:07:00-06:00,2021-01-18 14:42:00-06:00,0.5833333333333334
January,01/19/2021,09:31:00,01/21/2021,14:36:00,"California: Kern County, Los Angeles County, Riverside County, San Bernardino County, Ventura County, Orange County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746,2021,,2021-01-19 09:31:00-06:00,2021-01-21 14:36:00-06:00,53.083333333333336
January,01/19/2021,02:48:00,01/20/2021,11:41:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,411,124888,2021,,2021-01-19 02:48:00-06:00,2021-01-20 11:41:00-06:00,32.88333333333333
January,01/21/2021,00:00:00,02/03/2021,16:55:00,Texas: Louisiana: Arkansas: Pulaski County; Mississippi:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-01-21 00:00:00-06:00,2021-02-03 16:55:00-06:00,328.9166666666667
January,01/23/2021,07:00:00,01/27/2021,13:45:00,Georgia: Laurens County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Cyber Event,29,Unknown,2021,,2021-01-23 07:00:00-06:00,2021-01-27 13:45:00-06:00,102.75
January,01/23/2021,07:45:00,01/23/2021,08:00:00,"California: Placer County, Nevada County;",WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,45,0,2021,,2021-01-23 07:45:00-06:00,2021-01-23 08:00:00-06:00,0.25
January,01/26/2021,20:49:00,01/28/2021,21:14:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,841,255715,2021,,2021-01-26 20:49:00-06:00,2021-01-28 21:14:00-06:00,48.416666666666664
January,01/27/2021,12:30:00,01/27/2021,16:18:00,New Hampshire: Hillsborough County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-01-27 12:30:00-06:00,2021-01-27 16:18:00-06:00,3.8
January,01/28/2021,10:15:00,01/28/2021,16:46:00,New Hampshire: Hillsborough County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-01-28 10:15:00-06:00,2021-01-28 16:46:00-06:00,6.516666666666667
February,02/01/2021,23:25:00,02/02/2021,01:12:00,Texas: Kleberg County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,13,6102,2021,,2021-02-01 23:25:00-06:00,2021-02-02 01:12:00-06:00,1.7833333333333334
February,02/02/2021,12:34:00,02/02/2021,15:43:00,South Dakota: Hughes County;,MRO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,5,4,2021,,2021-02-02 12:34:00-06:00,2021-02-02 15:43:00-06:00,3.15
February,02/02/2021,09:25:00,02/03/2021,11:38:00,South Dakota: Hughes County;,MRO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,5,3,2021,,2021-02-02 09:25:00-06:00,2021-02-03 11:38:00-06:00,26.216666666666665
February,02/03/2021,14:22:00,02/04/2021,22:32:00,"North Dakota: Logan County, Emmons County, McIntosh County;",MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,7,1400,2021,,2021-02-03 14:22:00-06:00,2021-02-04 22:32:00-06:00,32.166666666666664
February,02/05/2021,09:43:00,02/05/2021,11:19:00,Arkansas: Arkansas County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-02-05 09:43:00-06:00,2021-02-05 11:19:00-06:00,1.6
February,02/06/2021,06:50:00,02/06/2021,14:43:00,Ohio: Kentucky:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021,,2021-02-06 06:50:00-06:00,2021-02-06 14:43:00-06:00,7.883333333333334
February,02/07/2021,06:57:00,02/07/2021,07:34:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021,,2021-02-07 06:57:00-06:00,2021-02-07 07:34:00-06:00,0.6166666666666667
February,02/08/2021,07:04:00,02/08/2021,14:10:00,Minnesota: St. Louis County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021,,2021-02-08 07:04:00-06:00,2021-02-08 14:10:00-06:00,7.1
February,02/08/2021,18:19:00,02/08/2021,18:29:00,New Hampshire: Hillsborough County;,NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-02-08 18:19:00-06:00,2021-02-08 18:29:00-06:00,0.16666666666666666
February,02/09/2021,13:00:00,02/10/2021,14:21:00,Oregon: Tillamook County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-02-09 13:00:00-06:00,2021-02-10 14:21:00-06:00,25.35
February,02/09/2021,10:51:00,Unknown,Unknown,North Carolina:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021,,2021-02-09 10:51:00-06:00,,
February,02/10/2021,15:00:00,02/23/2021,15:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,2000000,2021,,2021-02-10 15:00:00-06:00,2021-02-23 15:00:00-06:00,312.0
February,02/11/2021,08:30:00,02/22/2021,09:00:00,Illinois: Scott County;,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2021,,2021-02-11 08:30:00-06:00,2021-02-22 09:00:00-06:00,264.5
February,02/11/2021,19:21:00,02/11/2021,21:20:00,Colorado: Morgan County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021,,2021-02-11 19:21:00-06:00,2021-02-11 21:20:00-06:00,1.9833333333333334
February,02/11/2021,13:00:00,Unknown,Unknown,Kansas:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2021,,2021-02-11 13:00:00-06:00,,
February,02/12/2021,21:00:00,02/20/2021,17:15:00,"Oregon: Clackamas County, Marion County, Polk County, Multnomah County, Washington County, Yamhill County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,300187,2021,,2021-02-12 21:00:00-06:00,2021-02-20 17:15:00-06:00,188.25
February,02/12/2021,15:30:00,02/22/2021,07:30:00,Texas:,TRE,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2021,,2021-02-12 15:30:00-06:00,2021-02-22 07:30:00-06:00,232.0
February,02/13/2021,09:56:00,02/13/2021,11:01:00,Washington: Lewis County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,164,37583,2021,,2021-02-13 09:56:00-06:00,2021-02-13 11:01:00-06:00,1.0833333333333333
February,02/13/2021,13:30:00,02/20/2021,08:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-13 13:30:00-06:00,2021-02-20 08:00:00-06:00,162.5
February,02/13/2021,13:30:00,02/19/2021,21:00:00,West Virginia: Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55097,2021,,2021-02-13 13:30:00-06:00,2021-02-19 21:00:00-06:00,151.5
February,02/13/2021,08:32:00,02/14/2021,15:00:00,South Carolina: North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,129000,2021,,2021-02-13 08:32:00-06:00,2021-02-14 15:00:00-06:00,30.466666666666665
February,02/14/2021,08:30:00,02/19/2021,18:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,7214,Unknown,2021,,2021-02-14 08:30:00-06:00,2021-02-19 18:00:00-06:00,129.5
February,02/14/2021,08:30:00,02/19/2021,18:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-14 08:30:00-06:00,2021-02-19 18:00:00-06:00,129.5
February,02/14/2021,05:30:00,02/18/2021,10:00:00,Oklahoma:,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-14 05:30:00-06:00,2021-02-18 10:00:00-06:00,100.5
February,02/14/2021,20:21:00,02/18/2021,09:30:00,Arkansas: Louisiana: Texas: Oklahoma:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,461,125484,2021,,2021-02-14 20:21:00-06:00,2021-02-18 09:30:00-06:00,85.15
February,02/14/2021,20:00:00,02/18/2021,09:28:00,North Dakota: South Dakota: Nebraska: Kansas: Oklahoma: Texas:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,3000,Unknown,2021,,2021-02-14 20:00:00-06:00,2021-02-18 09:28:00-06:00,85.46666666666667
February,02/14/2021,19:05:00,Unknown,Unknown,Missouri: Kansas:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-14 19:05:00-06:00,,
February,02/14/2021,20:32:00,Unknown,Unknown,Nebraska: Lancaster County;,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0,2021,,2021-02-14 20:32:00-06:00,,
February,02/14/2021,18:00:00,02/16/2021,22:00:00,Missouri: Jasper County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0,2021,,2021-02-14 18:00:00-06:00,2021-02-16 22:00:00-06:00,52.0
February,02/15/2021,01:20:00,02/18/2021,00:42:00,"Texas: Hidalgo County, Cameron County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 01:20:00-06:00,2021-02-18 00:42:00-06:00,71.36666666666666
February,02/15/2021,01:20:00,02/18/2021,00:02:00,Texas: Harris County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,4966,1390000,2021,,2021-02-15 01:20:00-06:00,2021-02-18 00:02:00-06:00,70.7
February,02/15/2021,16:00:00,02/15/2021,18:34:00,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-02-15 16:00:00-06:00,2021-02-15 18:34:00-06:00,2.566666666666667
February,02/15/2021,00:00:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,500,Unknown,2021,,2021-02-15 00:00:00-06:00,,
February,02/15/2021,05:36:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown,2021,,2021-02-15 05:36:00-06:00,,
February,02/15/2021,13:00:00,02/20/2021,10:00:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,175000,2021,,2021-02-15 13:00:00-06:00,2021-02-20 10:00:00-06:00,117.0
February,02/15/2021,01:54:00,02/17/2021,23:56:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,524,Unknown,2021,,2021-02-15 01:54:00-06:00,2021-02-17 23:56:00-06:00,70.03333333333333
February,02/15/2021,01:20:00,02/19/2021,09:00:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,7214,Unknown,2021,,2021-02-15 01:20:00-06:00,2021-02-19 09:00:00-06:00,103.66666666666667
February,02/15/2021,15:00:00,02/19/2021,10:00:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 15:00:00-06:00,2021-02-19 10:00:00-06:00,91.0
February,02/15/2021,02:51:00,02/19/2021,09:00:00,Texas: Travis County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,219306,2021,,2021-02-15 02:51:00-06:00,2021-02-19 09:00:00-06:00,102.15
February,02/15/2021,01:54:00,02/19/2021,09:00:00,Texas: Travis County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,724,Unknown,2021,,2021-02-15 01:54:00-06:00,2021-02-19 09:00:00-06:00,103.1
February,02/15/2021,03:06:00,Unknown,Unknown,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154000,2021,,2021-02-15 03:06:00-06:00,,
February,02/15/2021,05:27:00,02/18/2021,08:18:00,Texas:,TRE,"Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.",Severe Weather,Unknown,Unknown,2021,,2021-02-15 05:27:00-06:00,2021-02-18 08:18:00-06:00,74.85
February,02/15/2021,01:23:00,02/19/2021,05:30:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 01:23:00-06:00,2021-02-19 05:30:00-06:00,100.11666666666666
February,02/15/2021,08:50:00,02/18/2021,09:30:00,Kansas:,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 08:50:00-06:00,2021-02-18 09:30:00-06:00,72.66666666666667
February,02/15/2021,07:00:00,02/18/2021,09:00:00,Oklahoma:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2021,,2021-02-15 07:00:00-06:00,2021-02-18 09:00:00-06:00,74.0
February,02/15/2021,19:48:00,02/18/2021,10:30:00,Oklahoma: Kay County;,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,Unknown,2021,,2021-02-15 19:48:00-06:00,2021-02-18 10:30:00-06:00,62.7
February,02/15/2021,10:24:00,02/18/2021,09:52:00,Texas: Lubbock County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,116,29942,2021,,2021-02-15 10:24:00-06:00,2021-02-18 09:52:00-06:00,71.46666666666667
February,02/15/2021,18:00:00,02/15/2021,23:55:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 18:00:00-06:00,2021-02-15 23:55:00-06:00,5.916666666666667
February,02/15/2021,05:40:00,02/16/2021,13:11:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,800,Unknown,2021,,2021-02-15 05:40:00-06:00,2021-02-16 13:11:00-06:00,31.516666666666666
February,02/15/2021,06:45:00,Unknown,Unknown,Texas: Arkansas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,Unknown,2021,,2021-02-15 06:45:00-06:00,,
February,02/15/2021,05:00:00,02/17/2021,16:00:00,Arkansas: Pulaski County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 05:00:00-06:00,2021-02-17 16:00:00-06:00,59.0
February,02/15/2021,17:00:00,02/15/2021,22:59:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 17:00:00-06:00,2021-02-15 22:59:00-06:00,5.983333333333333
February,02/15/2021,07:52:00,02/17/2021,14:15:00,"Texas: Austin County, Bastrop County, Burleson County, Caldwell County, Colorado County, Fayette County, Gonzales County, Guadalupe County, Hays County, Lee County, Milam County, Travis County, Washington County, Williamson County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,107,25000,2021,,2021-02-15 07:52:00-06:00,2021-02-17 14:15:00-06:00,54.38333333333333
February,02/15/2021,06:51:00,02/16/2021,13:19:00,Oklahoma:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,350,200000,2021,,2021-02-15 06:51:00-06:00,2021-02-16 13:19:00-06:00,30.466666666666665
February,02/15/2021,18:00:00,02/15/2021,23:59:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown,2021,,2021-02-15 18:00:00-06:00,2021-02-15 23:59:00-06:00,5.983333333333333
February,02/15/2021,18:00:00,02/15/2021,23:59:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 18:00:00-06:00,2021-02-15 23:59:00-06:00,5.983333333333333
February,02/15/2021,14:00:00,02/15/2021,18:00:00,Louisiana:,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2021,,2021-02-15 14:00:00-06:00,2021-02-15 18:00:00-06:00,4.0
February,02/15/2021,01:20:00,Unknown,Unknown,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,360,72000,2021,,2021-02-15 01:20:00-06:00,,
February,02/15/2021,12:18:00,02/15/2021,13:22:00,Missouri: Kansas:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown,2021,,2021-02-15 12:18:00-06:00,2021-02-15 13:22:00-06:00,1.0666666666666667
February,02/15/2021,10:00:00,Unknown,Unknown,Nebraska: Lancaster County;,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,613,Unknown,2021,,2021-02-15 10:00:00-06:00,,
February,02/15/2021,09:10:00,Unknown,Unknown,Texas: Randall County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0,2021,,2021-02-15 09:10:00-06:00,,
February,02/15/2021,05:36:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown,2021,,2021-02-15 05:36:00-06:00,,
February,02/15/2021,00:00:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,500,Unknown,2021,,2021-02-15 00:00:00-06:00,,
February,02/16/2021,07:03:00,02/20/2021,22:00:00,Kansas: Missouri:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,222000,2021,,2021-02-16 07:03:00-06:00,2021-02-20 22:00:00-06:00,110.95
February,02/16/2021,18:19:00,Unknown,Unknown,Arkansas:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown,2021,,2021-02-16 18:19:00-06:00,,
February,02/16/2021,17:45:00,02/16/2021,19:15:00,Texas: Travis County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-02-16 17:45:00-06:00,2021-02-16 19:15:00-06:00,1.5
February,02/16/2021,06:48:00,Unknown,Unknown,Louisiana:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,360,Unknown,2021,,2021-02-16 06:48:00-06:00,,
February,02/16/2021,18:35:00,02/17/2021,01:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Fuel Supply Deficiency,Unknown,Unknown,2021,,2021-02-16 18:35:00-06:00,2021-02-17 01:00:00-06:00,6.416666666666667
February,02/16/2021,23:28:00,Unknown,Unknown,Texas:,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-02-16 23:28:00-06:00,,
February,02/16/2021,16:40:00,02/20/2021,00:00:00,Missouri:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-16 16:40:00-06:00,2021-02-20 00:00:00-06:00,79.33333333333333
February,02/16/2021,17:35:00,02/17/2021,00:00:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021,,2021-02-16 17:35:00-06:00,2021-02-17 00:00:00-06:00,6.416666666666667
February,02/16/2021,07:20:00,02/16/2021,10:02:00,"Nebraska: Douglas County, Burt County, Washington County, Dodge County, Colfax County, Saunders County, Sarpy County, Cass County, Otoe County, Johnson County, Nemaha County, Pawnee County, Richardson County;",MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100,2021,,2021-02-16 07:20:00-06:00,2021-02-16 10:02:00-06:00,2.7
February,02/16/2021,05:30:00,02/16/2021,14:00:00,Louisiana: Texas: Illinois:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,1420,Unknown,2021,,2021-02-16 05:30:00-06:00,2021-02-16 14:00:00-06:00,8.5
February,02/16/2021,19:43:00,02/16/2021,21:41:00,Louisiana: Arkansas: Texas: Mississippi:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,700,Unknown,2021,,2021-02-16 19:43:00-06:00,2021-02-16 21:41:00-06:00,1.9666666666666666
February,02/16/2021,19:40:00,02/17/2021,01:00:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,538,Unknown,2021,,2021-02-16 19:40:00-06:00,2021-02-17 01:00:00-06:00,5.333333333333333
February,02/16/2021,07:17:00,02/16/2021,10:08:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,168,840000,2021,,2021-02-16 07:17:00-06:00,2021-02-16 10:08:00-06:00,2.85
February,02/16/2021,18:35:00,02/17/2021,01:00:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown,2021,,2021-02-16 18:35:00-06:00,2021-02-17 01:00:00-06:00,6.416666666666667
February,02/16/2021,10:20:00,02/16/2021,13:20:00,Oregon: Multnomah County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-02-16 10:20:00-06:00,2021-02-16 13:20:00-06:00,3.0
