Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,source_year,Event Month,event_start,event_end,duration_hours
January,01/24/2022,11:50:00,01/24/2022,16:00:00,"New York: Dutchess County, Greene County;",NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,0,0,2022,,2022-01-24 11:50:00-06:00,2022-01-24 16:00:00-06:00,4.166666666666667
January,01/26/2022,13:37:00,01/26/2022,14:15:00,Florida: Leon County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-01-26 13:37:00-06:00,2022-01-26 14:15:00-06:00,0.6333333333333333
January,01/27/2022,11:30:00,01/27/2022,11:31:00,Nevada: Clark County;,WECC," Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Vandalism,0,0,2022,,2022-01-27 11:30:00-06:00,2022-01-27 11:31:00-06:00,0.016666666666666666
January,01/28/2022,15:41:00,01/28/2022,21:30:00,"Colorado: Douglas County, Pueblo County, El Paso County, Prowers County;",WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2022,,2022-01-28 15:41:00-06:00,2022-01-28 21:30:00-06:00,5.816666666666666
January,01/29/2022,08:45:00,01/30/2022,01:00:00,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,120,12000,2022,,2022-01-29 08:45:00-06:00,2022-01-30 01:00:00-06:00,16.25
January,01/30/2022,20:41:00,01/31/2022,00:42:00,Nebraska:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-01-30 20:41:00-06:00,2022-01-31 00:42:00-06:00,4.016666666666667
January,01/31/2022,19:58:00,01/31/2022,20:10:00,West Virginia: Monongalia County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-01-31 19:58:00-06:00,2022-01-31 20:10:00-06:00,0.2
February,02/01/2022,12:13:00,02/01/2022,12:25:00,California: Yuba County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,10,8124,2022,,2022-02-01 12:13:00-06:00,2022-02-01 12:25:00-06:00,0.2
February,02/03/2022,10:00:00,02/07/2022,20:00:00,Tennessee: Shelby County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Unknown,255000,2022,,2022-02-03 10:00:00-06:00,2022-02-07 20:00:00-06:00,106.0
February,02/03/2022,12:56:00,02/04/2022,20:30:00,Ohio:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Unknown,51000,2022,,2022-02-03 12:56:00-06:00,2022-02-04 20:30:00-06:00,31.566666666666666
February,02/03/2022,12:56:00,Unknown,Unknown,Ohio:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Unknown,51000,2022,,2022-02-03 12:56:00-06:00,,
February,02/04/2022,18:21:00,02/04/2022,22:00:00,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,Unknown,Unknown,2022,,2022-02-04 18:21:00-06:00,2022-02-04 22:00:00-06:00,3.65
February,02/04/2022,13:10:00,Unknown,Unknown,New York: Ulster County;,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Unknown,67404,2022,,2022-02-04 13:10:00-06:00,,
February,02/09/2022,07:00:00,02/09/2022,09:00:00,New York: Orange County;,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,2022,,2022-02-09 07:00:00-06:00,2022-02-09 09:00:00-06:00,2.0
February,02/12/2022,16:29:00,02/12/2022,16:30:00,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,Unknown,Unknown,2022,,2022-02-12 16:29:00-06:00,2022-02-12 16:30:00-06:00,0.016666666666666666
February,02/17/2022,10:30:00,02/17/2022,10:31:00,Rhode Island: Providence County[13];,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-02-17 10:30:00-06:00,2022-02-17 10:31:00-06:00,0.016666666666666666
February,02/17/2022,00:09:00,02/17/2022,07:36:00,Louisiana: Lafayette Parish;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,80,0,2022,,2022-02-17 00:09:00-06:00,2022-02-17 07:36:00-06:00,7.45
February,02/18/2022,07:10:00,02/18/2022,16:25:00,Connecticut: Maine: Massachusetts: New Hampshire: Vermont: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,7,7047,2022,,2022-02-18 07:10:00-06:00,2022-02-18 16:25:00-06:00,9.25
February,02/22/2022,11:10:00,02/22/2022,12:15:00,Texas: Llano County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-02-22 11:10:00-06:00,2022-02-22 12:15:00-06:00,1.0833333333333333
February,02/24/2022,10:25:00,02/24/2022,10:31:00,Texas: Montgomery County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,3,1405,2022,,2022-02-24 10:25:00-06:00,2022-02-24 10:31:00-06:00,0.1
February,02/24/2022,01:09:00,02/24/2022,02:59:00,"California: San Bernardino County, Kern County, Solano County, San Diego County;",WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,246,0,2022,,2022-02-24 01:09:00-06:00,2022-02-24 02:59:00-06:00,1.8333333333333333
February,02/25/2022,09:31:00,02/25/2022,13:09:00,Texas: Travis County; California: San Diego County;,TRE, Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-02-25 09:31:00-06:00,2022-02-25 13:09:00-06:00,3.6333333333333333
